FilingName,Exchange,Ticker,Dismissed,SettlementAmount,FilingYear
"Arbinet-Thexchange, Inc.",NASDAQ,ARBX,Yes,#NULL!,2005
"Appliance Recycling Centers of America, Inc.",NASDAQ,ARCI,Ongoing,#NULL!,2015
American Realty Capital Properties Inc.,NASDAQ,ARCP,Ongoing,#NULL!,2014
American Realty Capital Properties Inc.,NASDAQ,ARCP,Ongoing,#NULL!,2014
Capital Gold Corporation,American SE,CGC,Yes,#NULL!,2010
"ARIAD Pharmaceuticals, Inc.",NASDAQ,ARIA,Ongoing,#NULL!,2013
"Arena Pharmaceuticals, Inc.",NASDAQ,ARNA,Ongoing,#NULL!,2010
"Chordiant SOFTWARE, Inc.",NASDAQ,CHRD,Yes,#NULL!,2010
ArthroCare Corporation,NASDAQ,ARTC,No,"$74,000,000.00",2008
Arotech Corporation,NASDAQ,ARTX,No,"$2,900,000.00",2007
"Aruba Networks, Inc.",NASDAQ,ARUN,Ongoing,#NULL!,2013
Arrowhead Research Corporation,NASDAQ,ARWR,Ongoing,#NULL!,2014
Arrowhead Research Corporation,NASDAQ,ARWR,Ongoing,#NULL!,2014
"American Service Group, Inc.",NASDAQ,ASGRE,No,"$10,500,000.00",2006
Archstone-Smith Trust,New York SE,ASN,Yes,#NULL!,2007
Archstone-Smith Operating Trust : A-1 Units,New York SE,ASN,Yes,#NULL!,2008
Altisource Portfolio Solutions SA,NASDAQ,ASPS,Ongoing,#NULL!,2014
Altisource Portfolio Solutions SA,NASDAQ,ASPS,Ongoing,#NULL!,2014
Atlantic Power Corporation,New York SE,AT,Ongoing,#NULL!,2013
Astea International Inc.,NASDAQ,ATEA,Yes,#NULL!,2006
"Compellent Technologies, Inc.",New York SE,CML,Yes,#NULL!,2010
"CORINTHIAN COLLEGES, Inc.",NASDAQ,COCO,Yes,#NULL!,2010
Cogent Inc.,NASDAQ,COGT,Yes,#NULL!,2010
"Atossa Genetics, Inc.",NASDAQ,ATOS,Ongoing,#NULL!,2013
ATP Oil & Gas Corporation : 11.875% Senior Second Lien Exchange Notes,NASDAQ,ATPAQ,Ongoing,#NULL!,2013
ATP Oil & Gas Corporation,NASDAQ,ATPAQ,Ongoing,#NULL!,2013
"AtriCure, Inc.",NASDAQ,ATRC,No,"$2,000,000.00",2006
"AtriCure, Inc.",NASDAQ,ATRC,No,"$2,750,000.00",2008
Capella Education Company,NASDAQ,CPLA,Yes,#NULL!,2010
Celera Corporation,NASDAQ,CRA,No,"$24,750,000.00",2010
ATI TECHNOLOGIES Inc.,NASDAQ,ATYT,Yes,#NULL!,2005
"AuthenTec, Inc.",NASDAQ,AUTH,Yes,#NULL!,2008
"Avaya, Inc.",New York SE,AV,Yes,#NULL!,2005
"Aveo Pharmaceuticals, Inc.",NASDAQ,AVEO,Ongoing,#NULL!,2013
"Avid Technology, Inc.",NASDAQ,AVID,Ongoing,#NULL!,2013
"Avanir Pharmaceuticals, Inc.",NASDAQ,AVNR,Yes,#NULL!,2009
"Avon Products, Inc.",New York SE,AVP,Yes,#NULL!,2005
"Avon Products, Inc.",New York SE,AVP,Ongoing,#NULL!,2011
"Accelerate Diagnostics, Inc.",NASDAQ,AXDX,Ongoing,#NULL!,2015
Anixter International Inc.,New York SE,AXE,Yes,#NULL!,2009
American Express Company,New York SE,AXP,Yes,#NULL!,2009
American Express Company,New York SE,AXP,Ongoing,#NULL!,2015
"Axesstel, Inc.",OTC-BB,AXST,Ongoing,#NULL!,2014
"CRM Holdings, Ltd.",NASDAQ,CRMH,Yes,#NULL!,2010
Axonyx Inc.,NASDAQ,AXYX,Yes,#NULL!,2005
AstraZeneca PLC,New York SE,AZN,Yes,#NULL!,2005
Aspen TECHNOLOGY Inc.,NASDAQ,AZPN,Yes,#NULL!,2006
The Boeing Company,New York SE,BA,Yes,#NULL!,2009
Alibaba Group Holding Limited : American Depositary Shares,New York SE,BABA,Ongoing,#NULL!,2015
Bank of America : Auction Rate Securities,New York SE,BAC,Yes,#NULL!,2008
Bank of America Corporation : Merger with Merrill Lynch,New York SE,BAC,No,"$2,425,000,000.00",2009
Canadian Solar Inc.,NASDAQ,CSIQ,Yes,#NULL!,2010
Bank of America Corporation,New York SE,BAC,Ongoing,#NULL!,2011
"Cell Therapeutics, Inc.",NASDAQ,CTIC,No,"$19,000,000.00",2010
"CommScope, Inc.",New York SE,CTV,Yes,#NULL!,2010
Braskem S.A. : American Depositary Shares,New York SE,BAK,Ongoing,#NULL!,2015
"Bare Escentuals, Inc.",NASDAQ,BARE,Yes,#NULL!,2009
Baxter International Inc.,New York SE,BAX,Ongoing,#NULL!,2010
