gvkey,datadate,fyear,datafmt,tic,conm,acctchg,ajex,ajp,curncd,currtr,fyr,acdo,aco,acodo,acominc,acox,acqic,acqintan,acqinvt,acqppe,acqsc,act,aldo,am,ano,ao,aocidergl,aociother,aocipen,aocisecgl,aodo,aol2,aoloch,aox,ap,apalch,aqa,aqc,aqd,aqeps,aqi,aqp,aqpl1,aqs,at,aul3,bast,bastr,bkvlps,caps,capx,capxv,ceq,ceql,ceqt,ch,che,chech,ci,cibegni,cicurr,cidergl,cimii,ciother,cipen,cisecgl,citotal,cld2,cld3,cld4,cld5,cogs,cshfd,cshi,csho,cshpri,cshr,cstk,cstkcv,cstke,dc,dclo,dcom,dcpstk,dcs,dcvsr,dcvsub,dcvt,dd,dd1,dd2,dd3,dd4,dd5,diladj,dilavx,dlc,dlcch,dltis,dlto,dltp,dltr,dltt,dm,dn,do,donr,dp,dpact,dpc,dpvieb,drc,drlt,ds,dtea,dted,dteeps,dtep,dudd,dv,dvc,dvp,dvpa,dvt,dxd2,dxd3,dxd4,dxd5,ebit,ebitda,emp,epsfi,epsfx,epspi,epspx,esub,esubc,exre,fatb,fatc,fate,fatl,fato,fatp,fca,fiao,fincf,fopo,fopox,gdwl,gdwlia,gdwlid,gdwlieps,gdwlip,gla,glcea,glced,glceeps,glcep,gld,gleps,glp,gp,hedgegl,ib,ibadj,ibc,ibcom,ibmii,icapt,idit,intan,intano,intc,intpn,invch,invfg,invo,invrm,invt,invwip,irent,itcb,itci,ivaco,ivaeq,ivao,ivch,ivncf,ivst,ivstch,lco,lcox,lcoxdr,lct,lifr,lno,lo,lol2,loxdr,lqpl1,lse,lt,lul3,mib,mibn,mibt,mii,mrc1,mrc2,mrc3,mrc4,mrc5,mrct,mrcta,msa,ni,niadj,nipfc,nipfp,nopi,nopio,np,nrtxt,nrtxtd,nrtxteps,oancf,ob,oiadp,oibdp,opeps,oprepsx,optca,optdr,optex,optexd,optfvgr,optgr,optlife,optosby,optosey,optprcby,optprcca,optprcex,optprcey,optprcgr,optprcwa,optrfr,optvol,pi,pidom,pifo,pnca,pncad,pncaeps,pncia,pncid,pncieps,pncip,pncwia,pncwid,pncwieps,pncwip,pnrsho,ppegt,ppent,ppeveb,prca,prcad,prcaeps,prsho,prstkc,pstk,pstkc,pstkl,pstkn,pstkr,pstkrv,rca,rcd,rceps,rcl,rcp,rdip,rdipa,rdipd,rdipeps,re,rea,reajo,recch,recco,recd,rect,recta,rectr,recub,reuna,reunr,revt,rra,rrd,rreps,rrp,sale,salepfc,salepfp,seq,seqo,seta,setd,seteps,setp,siv,spce,spced,spceeps,spi,spid,spieps,spioa,spiop,sppe,sppiv,sstk,stkco,stkcpa,teq,tfva,tfvce,tfvl,tlcf,tstk,tstkc,tstkme,tstkn,tstkp,txach,txbco,txbcof,txc,txdb,txdba,txdbca,txdbcl,txdc,txdfed,txdfo,txdi,txditc,txds,txfed,txfo,txndb,txndba,txndbl,txndbr,txo,txp,txpd,txr,txs,txt,txtubadjust,txtubbegin,txtubend,txtubmax,txtubmin,txtubposdec,txtubposinc,txtubpospdec,txtubpospinc,txtubsettle,txtubsoflimit,txtubtxtr,txtubxintbs,txtubxintis,wcap,wda,wdd,wdeps,wdp,xacc,xad,xido,xidoc,xint,xintd,xopr,xpp,xpr,xrd,xrent,xsga,dlrsn,ggroup,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,spcsrc
61646,3/31/13,2012,SUMM_STD,WSTL,WESTELL TECH INC  -CL A, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,142.437, , , , , ,0.379, , , , , , , , , , , , , , , , , , , , ,24.989,59.944, , ,59.944, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , ,1.381, , , , , , , , , , , , , , , , , , , , , , , ,-0.73,-0.71,-0.73,-0.71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-42.542, , , ,-42.542, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,-44.038, , , ,-3.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-13.15, , , , , , , , , , , , , , , ,1.081, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-242.91, , , , , , ,38.808, , ,131.077, , , , , , , , , , , , , , , , , , , ,131.077, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,29.392, , , , , , , , , , , , , , ,127.719, , , , , , ,-1.496, ,0, , , , , , ,22.288, ,4520,452010,45,45201020,334210,3661,180,940, 
151828,7/31/10,2010,STD,MTRO,METRO ONE DEVELOPMENT INC, ,1,1,USD,1,7,0,0,0,0.127,0, , , , , ,0,0,0, ,0,0,0,0,0,0, ,0,0,7.742,1.105, ,0, , ,0, , ,0,0, , , ,-0.0339,22.174,0,0,-10.923,-10.923,-10.923,0,0,0,-1.652,-1.183,-0.469,0,0,0,0,0,-1.652,0,0,0,0,0,97.29,322.496,322.496,97.29,2.5,0.032,0.0001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.183,0.408,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0.18,0,0.18,0,0,0,0,-0.711,-0.711,0.004,-0.01,-0.01,-0.01,-0.01,0,0,-0.468,0,0,0,0,0,0, ,0,0.066,0.3,0.3,0, , , , , , , , , , , , ,0, ,-1.003,-1.183,-1.003,-1.183,-1.003,-9.923,0,0,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,1.773,1.773,1.773,9.923,0, ,0, ,0, ,0,9.923, ,0,0,0,0,0,0,0,0,0,0,0,0,-1.003,-1.183, , ,0,0,0.408, , , ,0.402, ,-0.711,-0.711,-0.01,-0.01,0, ,0,0, ,0, ,0,0, , , , , , , , ,-1.003, , ,0,0,0, , , , , , , , ,0,0,0,0,0,0,0,0.001,0,1,1,1,0,1,1, , , , , ,0,0,0,0,-33.129,0,0,0,0,0,0,0.127,0,0,-33.256, ,0, , , , ,0, , ,-9.923,0, , , , ,0,-1.183,-0.01,-0.01,0, , , , ,0,0,0, , ,-9.923, , , , ,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0, , , , , , , , , , , , , , ,-9.923, , , , , , ,0,0,0.292,0,0.711,0, , ,0.028,0.711, ,4520,452030,45,45203010,334419,3679, , , 
61646,3/31/14,2013,SUMM_STD,WSTL,WESTELL TECH INC  -CL A, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,160.974, , , , , ,0.443, , , , , , , , , , , , , , , , , , , , ,57.333,60.048, , ,58.786, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , ,5.53, , , , , , , , , , , , , , , , , , , , , , , ,0.09,0.09,0.09,0.09, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.412, , , ,5.412, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,5.367, , , ,-3.059, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-3.37, , , , , , , , , , , , , , , ,1.946, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-237.543, , , , , , ,102.073, , ,139.633, , , , , , , , , , , , , , , , , , , ,139.633, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-8.782, , , , , , , , , , , , , , ,77.202, , , , , , ,-0.045, ,0, , , , , , ,39.521, ,4520,452010,45,45201020,334210,3661,180,940, 
14417,3/31/10,2009,STD,NOIZ,MICRONETICS INC, ,1,1,USD,1,3,0,2.21,2.21,0,2.21, , , , , ,19.548,0,0.348,0,0.116,0,0,0,0,0.116,0.419,0.885,0.116,2.179,0.816, ,0, , ,0, ,0,0,26.965,0, , ,2.9293,12.204,1.13,1.13,13.34,13.34,10.826,0.482,0.482,-0.138,1.148,1.148,0,0,0,0,0,0,1.148,0.161,0,0,0,21.956,4.554,5.391,4.554,4.554,0.202,0.054,0.01,0,0,0.161,0,0, ,0,0,0,0,1.457,1.461,0.325,0,0,0,1.148,5.692,0.732,0,1.625,1.625,1.595,1.786,1.786,0,0,0,1.558,8.622,1.558,8.622,0.2,0,0, , , , ,0,0,0,0,0,0,1.3,0.325,0,0,2.395,3.953,0.189,0.25,0.25,0.25,0.25,0,0,0,2.17,0,10.834, ,0.244,0.162, ,0.152,-0.711,0.208,0.208,1.117, , , , , , , , , , , , ,12.912, ,1.148,1.148,1.148,1.148,1.148,15.126,0,2.514,1.397,0,0.492,-1.749, , ,7.17,10.945,3.942,0,0,0.068,0,0,0,0,-1.13,0,0,2.933,1.274,1.074,10.804,0,0,0.002,0.165,0.002,0,26.965,13.625,0,0,0,0,0,0.648,0.628,0.597,0.426,0,2.299,0,0,1.148,1.148, , ,0.134,0.134,4.235, , , ,1.703,30,2.395,3.953,0.25,0.25,0.325,0,0.319,0,2.2,0.137,6.25,0.699,0.511,7.78,7.46, ,6.79,3.32,8.04,2.75,69.5,2.006, , ,0,0,0, , , , , , , , ,0,13.409,4.787,13.41,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,0,4.062,0,0,-1.051,0,0.571,5.911,0,5.911,0.22,4.062, ,34.868, , , , ,34.868, , ,13.34,0, , , , ,0,1.148,0.25,0.25,0, , , , ,0,0,0,0.114, ,13.34,0.419,0,0.165,0.992,2.98,2.98, ,0.837,0,0,0,0,0.97,1.033,0,1.557,0,-0.112,-0.072,0,-0.112,1.033,-0.04,0.679,0,0.524,1.558,1.034,0,0,0,0.341,0,0.291,0.858,0,0.006,0.002, , ,0,0,0,0,0,0.004,0.002,0, ,8.744, , , , ,1.659,0.055,0,0,0.523, ,30.915, ,0.168,1.709,0.89,8.959,1,4520,452030,45,45203015,334419,3679,220,925, 
61712,12/31/10,2010,SUMM_STD,BDR,BLONDER TONGUE LABS INC, , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26.612, , , , , ,0.117, , , , , , , , , , , , , , , , , , , , ,17.415,6.285, , ,6.192, , , , , , , , , , , , , , , , , , , , , , , , , , ,2.872, , , , ,0.828, , , , , , , , , , , , , , , , , , , , , , , ,0.28,0.28,0.29,0.29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.785, , , ,1.785, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.785, , , ,0.007, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.785, , , , , , , , , , , , , , , ,3.812, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.196, , , , , , ,30.508, , ,22.043, , , , , , , , , , , , , , , , , , , ,22.043, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , ,12.181, , , , , , ,0, ,0.199, , , , , , ,10.288, ,4520,452010,45,45201020,334220,3663,180,940,C
14417,3/31/11,2010,STD,NOIZ,MICRONETICS INC, ,1,1,USD,1,3,0,2.179,2.179,0,2.179, , , , , ,22.629,0,0.321,0,0.107,0,0,0,0,0.107,0.74,-0.135,0.107,2.089,0.001, ,0, , ,0, ,0,0,29.548,0, , ,3.2779,12.281,0.968,0.968,14.934,14.934,12.741,0.745,0.745,0.263,1.518,1.518,0,0,0,0,0,0,1.518,0,0,0,0,22.497,4.566,5.394,4.556,4.555,0.187,0.054,0.01,0,0,0,0,0, ,0,0,0,0,1.469,0.325,0,0,0,0,1.518,8.182,2.48,0,0.325,0.325,1.574,0.325,0.325,0,0,0,1.569,9.695,1.569,9.695,0.031,0,0, , , , ,0,0,0,0,0,0,0.325,0,0,0,2.541,4.11,0.188,0.33,0.33,0.33,0.33,0,0,0,2.073,0,11.864, ,0.214,0.162, ,0.117,1.029,0.205,0.205,1.117, , , , ,-0.003,-0.003,0,0,-0.004,0,0,-0.004,12.8, ,1.518,1.518,1.518,1.518,1.518,15.259,0.003,2.193,1.076,0,0.398,-3.354, , ,7.731,13.998,6.32,0,0,0.111,0.01,0,0,0,-0.958,0,0,2.75,1.204,1.173,13.021,0,0,0,0.059,0,0,29.548,14.614,0,0,0,0,0,0.626,0.602,0.422,0,0,1.65,0,0,1.518,1.518, , ,0.127,0.124,6.713, , , ,0.192,31,2.541,4.11,0.33,0.33,0.258,0,0.139,0.003,2.61,0.043,6.25,0.511,0.293,6.79,7.93,2.25,5.43,4.11,6.8,2.4,68,2.299, , ,0,0,0, , , , , , , , ,0,14.314,4.619,14.313,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,0,5.58,0,0,0.263,0,0.512,5.707,0,5.707,0,5.58, ,35.297, , , , ,35.297, , ,14.934,0, , , , ,0,1.521,0.33,0.33,-0.004, , , , , ,0.004,0.006,0.188, ,14.934,0.74,0,0.059,1.512,2.981,2.981, ,0.838,0,0,0,0,0.66,1.268,0,1.554,0,0.121,0.101,0,0.121,1.268,0.02,0.521,0,0.286,1.45,1.164,0,0,0,0.634,0,0.139,0.781,0,0.002,0, , ,0,0,0,0,0,0.002,0,0,0,9.608, , , , ,1.546,0.047,0,0,0.365, ,31.187, ,0.2,1.791,0.766,8.69,1,4520,452030,45,45203015,334419,3679,220,925, 
61712,12/31/11,2011,SUMM_STD,BDR,BLONDER TONGUE LABS INC, , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25.871, , , , , ,0.2, , , , , , , , , , , , , , , , , , , , ,15.981,6.21, , ,6.21, , , , , , , , , , , , , , , , , , , , , , , , , , ,2.821, , , , ,1.141, , , , , , , , , , , , , , , , , , , , , , , ,-0.07,-0.07,-0.07,-0.07, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-0.411, , , ,-0.411, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-0.411, , , ,0.006, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-0.411, , , , , , , , , , , , , , , ,3.852, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.785, , , , , , ,26.663, , ,21.203, , , , , , , , , , , , , , , , , , , ,21.203, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , ,11.838, , , , , , ,0, ,0.183, , , , , , ,9.775, ,4520,452010,45,45201020,334220,3663,180,940,C
14417,3/31/12,2011,STD,NOIZ,MICRONETICS INC, ,1,1,USD,1,3,0,2.184,2.184,0,2.184, , , , , ,22.863,0,0.314,0,0.081,0,0,0,0,0.081,0.84,0.597,0.081,1.132,0.029, ,0, , , , ,0, ,29.57,0, , ,4.0852,12.628,1.346,1.346,18.694,18.694,16.814,0.857,0.857,0.112,3.413,3.413,0,0,0,0,0,0,3.413,0,0,0,0,29.934,4.597,5.413,4.576,4.565,0.178,0.054,0.01,0,0,0,0,0,0,0,0,0,0,0.325,0,0,0,0,0,3.413,4.546,-2.494,0,0,0,1.469,0,0,0,0,0,1.532,10.913,1.532,10.913,0.301,0,0, , , , ,0,0,0,0,0,0,0,0,0,0,5.608,7.14,0.208,0.74,0.74,0.75,0.75,0,0,0,2.106,0,13.155, ,0.237,0.162, ,0,-3.905,0.702,0.688,1.118, , , , , , , , , , , , ,16.036, ,3.413,3.413,3.413,3.413,3.413,18.694,0.002,1.88,0.762,0,0.26,0.636,0.038,0,8.344,12.921,4.539, ,0,0.057,0,0,0,0,-1.346,0,0,3.945,1.929,1.628,9.623,0,0,0,0,0,0,29.57,10.876,0,0,0,0,0,0.647,0.427,0,0,0,1.074,0,0,3.413,3.413, , ,0.07,0.068,4.221, , , ,5.363,26,5.608,7.14,0.75,0.74,0.011,0,0.178,0.019,4.26,0.204,6.25,0.293,0.467,5.43,4.13,2.98,6.17,6.82,6.52,1.39,68,5.441, , ,0,0,0, , , , , , , , ,0,15.659,4.746,15.66,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,0,8.993,0,0,-1.224,0,0.541,6.901,0,6.901,0,8.993, ,45.97, , , , ,45.97, , ,18.694,0, , , , ,0,3.413,0.74,0.75,0, , , , ,0,0,0.058,0.276, ,18.694,0.84,0,0,1.297,2.981,2.981, ,0.837,0,0,0.014,0,2.35,1.253,0,1.86,0,-0.322,-0.221,0,-0.322,1.253,-0.101,1.73,0,0.607,1.772,1.165,0,0,0,1.955,0,0.62,2.028, , , , , , , , , , , , , , ,13.24, , , , ,2.016,0.006,0,0,0.237, ,38.83, ,0.232,1.454,0.742,8.896,1,4520,452030,45,45203015,334419,3679,220,925, 
61712,12/31/12,2012,SUMM_STD,BDR,BLONDER TONGUE LABS INC, , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26.303, , , , , ,0.102, , , , , , , , , , , , , , , , , , , , ,19.187,6.216, , ,6.216, , , , , , , , , , , , , , , , , , , , , , , , , , ,4.163, , , , ,1.438, , , , , , , , , , , , , , , , , , , , , , , ,-0.83,-0.83,-0.83,-0.83, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-5.157, , , ,-5.157, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-5.157, , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-2.825, , , , , , , , , , , , , , , ,4.009, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-0.372, , , , , , ,30.643, , ,16.625, , , , , , , , , , , , , , , , , , , ,16.625, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.332, , , , , , , , , , , , , , ,10.471, , , , , , ,0, ,0.33, , , , , , ,12.513, ,4520,452010,45,45201020,334220,3663,180,940,C
7344,11/30/10,2010,STD,MPAD,MICROPAC INDUSTRIES INC, ,1,1,USD,1,11,0,1.152,1.152,0,1.152, , , , , ,19.251,0,0, ,0,0,0,0,0,0, ,-0.109,0,0.7,-0.038, ,0, , ,0, , ,0,20.697, ,0,0,6.7773,0.885,0.388,0.388,17.472,17.472,17.472,9.085,10.085,2.283,2.696,2.696,0,0,0,0,0,0,2.696,0,0,0,0,14.334,2.578,3.078,2.578,2.578,0.496,0.308,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.696,0,0,0,0,0,0,0,0,0,0,0,0.268,7.582,0.268,7.582,0.834,0,0, , , , ,0,0.258,0.258,0,0,0.258,0,0,0,0,3.995,4.263,0.133,1.05,1.05,1.05,1.05,0,0,0,0.498,0,7.568,0,0.882,0.08, ,0,-0.258,0,0,0, , , , , , , , , , , , ,8.736, ,2.696,2.696,2.696,2.696,2.696,17.472,0.003,0,0,0, ,0.392,0,0,2.302,5.121,2.819, ,0,0,0,0,0,0,-0.381,1,0,2.173,0.834,0,2.948,0, ,0, ,0, ,20.697,3.225, ,0,0,0,0,0,0,0,0,0,0,0,0,2.696,2.696, , ,0.12,0.117,0, , , ,2.922,11.143,3.995,4.263,1.05,1.05,0, ,0,0, ,0, ,0,0, , , , , , , , ,4.115, , ,0,0,0, , , , , , , , ,0,9.028,1.446,9.028,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,0,17.529,0,0,-0.529,0,0,2.893,0,2.893, ,17.529,17.529,23.07, , , , ,23.07, , ,17.472,0, , , , ,0,2.696,1.05,1.05,0, , , , ,0.007,-0.003,0, , ,17.472, , , ,0,1.25,1.25, ,0.5,0,0.03,0,0,1.204,0.277,0,0.913,0,0.215,0.215,0,0.215,0.277,0,1.063,0,0.636, , , ,0,0.075,1.174,0,0.141,1.419, , , , , , , , , , , , , , ,16.303, , , , ,1.339, ,0,0,0,0,18.807, ,0.222,0.455,0.046,4.473, ,4520,452030,45,45203015,334413,3674,235,940,B
61712,12/31/13,2013,SUMM_STD,BDR,BLONDER TONGUE LABS INC, , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22.641, , , , , ,0.154, , , , , , , , , , , , , , , , , , , , ,17.245,6.216, , ,6.216, , , , , , , , , , , , , , , , , , , , , , , , , , ,3.893, , , , ,1.314, , , , , , , , , , , , , , , , , , , , , , , ,-0.45,-0.45,-0.45,-0.45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-2.822, , , ,-2.822, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-2.822, , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-2.822, , , , , , , , , , , , , , , ,3.71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-3.194, , , , , , ,27.87, , ,15.028, , , , , , , , , , , , , , , , , , , ,15.028, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , ,9.499, , , , , , ,0, ,0.277, , , , , , ,11.856, ,4520,452010,45,45201020,334220,3663,180,940,C
7344,11/30/11,2011,STD,MPAD,MICROPAC INDUSTRIES INC, ,1,1,USD,1,11,0,1.339,1.339,0,1.339, , , , , ,19.016,0,0, ,0,0,0,0,0,0, ,-1.039,0,0.359,-0.639, ,0, , , , , , ,20.95, ,0,0,7.3146,0.885,0.807,0.807,18.857,18.857,18.857,8.488,10.488,-0.597,1.643,1.643,0,0,0,0,0,0,1.643,0,0,0,0,12.982,2.578,3.078,2.578,2.578,0.49,0.308,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.643,0,0,0,0,0,0,0,0,0,0,0,0.319,7.901,0.319,7.901,0.175,0,0, , , , ,0,0.258,0.258,0,0,0.258,0,0,0,0,2.416,2.735,0.125,0.64,0.64,0.64,0.64,0,0,0,0.498,0,8.198,0,1.059,0.08, ,0,-0.258,0,0,0, , , , , , , , , , , , ,7.223, ,1.643,1.643,1.643,1.643,1.643,18.857,0,0,0,0, ,-0.157,0,0,2.803,5.278,2.475, ,0,0,0,0,0,0,-1.807,2,-1,1.216,0.175,0,1.673,0, ,0, ,0, ,20.95,2.093, ,0,0,0,0,0,0,0,0,0,0,0,0,1.643,1.643, , ,0.095,0.095,0, , , ,1.468,6.231,2.416,2.735,0.64,0.64,0, ,0,0, ,0, ,0,0, , , , , , , , ,2.511, , ,0,0,0, , , , , , , , ,0,9.835,1.934,9.835,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,0,18.914,0,0,0.982,0,0,1.911,0,1.911, ,18.914,18.914,20.205, , , , ,20.205, , ,18.857,0, , , , ,0,1.643,0.64,0.64,0, , , , ,0,0,0, , ,18.857, , , ,0,1.25,1.25, ,0.5,0,0.023,0,0,0.532,0.42,0,0.72,0,0.336,0.336,0,0.336,0.42,0,0.439,0,0.3,0.72,0.42,0,0,0.098,0.983,0,0.093,0.868, , , , , , , , , , , , , , ,17.343, , , , ,1.041, ,0,0,0,0,17.47, ,0.239,0.61,0.046,4.488, ,4520,452030,45,45203015,334413,3674,235,940,B
61725,12/31/10,2010,SUMM_STD,TLGD,TOLLGRADE COMMUNICATIONS INC, , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,91.337, , , , , ,0.416, , , , , , , , , , , , , , , , , , , , ,14.686,13.16, , ,12.736, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , ,2.761, , , , , , , , , , , , , , , , , , , , , , ,0.107,0.34,0.34,0.35,0.35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.423, , , ,4.423, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,4.423, , , ,-2.136, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.694, , , , , , , , , , , , , , , ,2.246, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13.966, , , , , , ,45.646, , ,84.292, , , , , , , , , , , , , , , , , , , ,84.292, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.271, , , , , , , , , , , , , , ,77.675, , , , , , ,0, ,0, , , , , , ,21.369,1,4520,452010,45,45201020,334515,3825,230,940,B
7344,11/30/12,2012,STD,MPAD,MICROPAC INDUSTRIES INC, ,1,1,USD,1,11,0,1.129,1.129,0,1.129, , , , , ,19.031,0,0,0,0,0,0,0,0,0,0,0.163,0,0.501,-0.173, ,0, , ,0, ,0,0,21.054,0, , ,7.3914,0.885,0.408,0.408,19.055,19.055,19.055,7.415,9.419,-1.073,0.456,0.456,0,0,0,0,0,0,0.456,0,0,0,0,12.267,2.578,3.078,2.578,2.578,0.482,0.308,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456,0,0,0,0,0,0,0,0,0,0,0,0.319,8.22,0.319,8.22,0.189,0,0, , , , ,0,0.258,0.258,0,0,0.258,0,0,0,0,0.703,1.022,0.12,0.18,0.18,0.18,0.18,0,0,0,0.498,0,8.591,0,1.074,0.08, ,0,-0.258,0,0,0, , , , , , , , , , , , ,5.432, ,0.456,0.456,0.456,0.456,0.456,19.055,0.004,0,0,0, ,-0.707,0,0,3.601,5.985,2.384, ,0,0.013,0,0,0,0,-0.412,2.004,-0.004,0.915,0.189,0,1.528,0,0,0,0,0,0,21.054,1.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456,0.456, , ,0.079,0.075,0, , , ,-0.403,9.85,0.703,1.022,0.18,0.18,0, ,0,0, ,0, ,0,0, , , , , , , , ,0.782, , ,0,0,0, , , , , , , , ,0,10.243,2.023,10.243,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,0,19.112,0,0,-0.587,0,0.002,2.498,0,2.498, ,19.112,19.112,17.699, , , , ,17.699, , ,19.055,0, , , , ,0,0.456,0.18,0.18,0, , , , ,0,0,0, , ,19.055,0, ,0,0,1.25,1.25, ,0.5,0,0.014,0,0,0.214,0.471,0,0.659,0,0.112,0.112,0,0.112,0.471,0,0.122,0,0.188,0.659,0.471,0,0,0.112,0.075,0,0.092,0.326, , , , , , , , , , , , , , ,17.503, , , , ,0.726, ,0,0,0,0,16.677, ,0.262,0.574,0.046,4.41, ,4520,452030,45,45203015,334413,3674,235,940,B
