FilingName,Exchange,Ticker,Dismissed,SettlementAmount,FilingYear
China Ceramics Co. Ltd.,NASDAQ,CCCL,Ongoing,0,2014
"China Commercial Credit, Inc.",New York SE,CCCR,Ongoing,0,2014
"China Commercial Credit, Inc.",New York SE,CCCR,Ongoing,0,2014
"Coca-Cola Enterprises, Inc.",New York SE,CCE,Yes,0,2006
"China MediaExpress Holdings, Inc.",NASDAQ,CCME,Ongoing,0,2011
CompuCredit Corporation,NASDAQ,CCRT,Yes,0,2008
"Genoptix, Inc.",NASDAQ,GXDX,No,7700000,2010
"Cadence Design Systems, Inc.",NASDAQ,CDNS,No,38000000,2008
"Citadel SECURITY SOFTWARE ,Inc.",NASDAQ,CDSS,Yes,0,2005
CDW Corporation,NASDAQ,CDWC,No,0,2007
"Cadiz, Inc.",NASDAQ,CDZI,Ongoing,0,2015
Heckmann Corporation,New York SE,HEK,No,27000000,2010
"The Hartford Financial Services Group, Inc.",New York SE,HIG,Yes,0,2010
Central European Distribution Corporation,NASDAQ,CEDC,Ongoing,0,2012
"Constellation Energy Group, Inc.",New York SE,CEG,No,4000000,2008
"Constellation Energy Group, Inc.",New York SE,CEG,Yes,0,2008
"Harleysville National Corporation : First Niagara Financial Group, Inc. Acquisition",NASDAQ,HNBC,Yes,0,2010
Sembcorp Utilities Pte Ltd. : common stock of Cascal N.V.,New York SE,HOO,Yes,0,2010
Hewlett-Packard Company,New York SE,HPQ,Yes,0,2010
Century Aluminum Company : Series A Convertible Preferred Stock,NASDAQ,CENX,Yes,0,2009
"ICx Technologies, Inc.",NASDAQ,ICXT,No,0,2010
"China Energy Savings TECHNOLOGY, Inc.",NASDAQ,CESV,Yes,0,2006
SearchMedia Holdings Limited (Formerly Known As Ideation Acquisition Corp.),New York SE,IDI,No,2750000,2010
Countrywide Financial Corporation,New York SE,CFC,No,624000000,2007
"Intuitive Surgical, Inc.",NASDAQ,ISRG,Yes,0,2010
"Coast Financial Holdings, Inc.",NASDAQ,CFHI,No,6349000,2007
"ConforMIS, Inc.",NASDAQ,CFMS,Ongoing,0,2015
"J. Crew Group, Inc.",New York SE,JCG,Yes,0,2010
Cano Petroleum Inc.,American SE,CFW,Yes,0,2008
Johnson & Johnson,New York SE,JNJ,No,22900000,2010
The St. Joe Company,NASDAQ,JOE,Yes,0,2010
"China-Biotics, Inc.",NASDAQ,CHBT,Ongoing,0,2010
Koss Corporation,NASDAQ,KOSS,No,1000000,2010
Lincoln Educational Services Corporation,NASDAQ,LINC,Yes,0,2010
"Lance, Inc.",NASDAQ,LNCE,Yes,0,2010
"Choice Hotels International, Inc.",New York SE,CHH,Yes,0,2007
Chesapeake Energy Corporation,New York SE,CHK,Yes,0,2009
"Lender Processing Services, Inc.",New York SE,LPS,No,14000000,2010
Mediacom Communications Corp.,NASDAQ,MCCC,Yes,0,2010
China Natural Gas Inc.,Pink Sheets,CHNG,Ongoing,0,2010
