"","acc.loss","price.trend","company.rating","eps","log.shares","cap.reserve","cash","log.common.stocks","other.finance","finance.cash.flow","other.funds","inventory.diff","investing.other","options.granted","risk.free.rate","assumed.volatility","sale.investments","log.long.tax","net.tax.liability","settlement.pct","market.valuation","was.litigated"
"171",-0.065,3.76,3,0.26224,17.1817281516905,5.31008782214695,57.5,-1.04982212449868,-2.56,43.301,2.924,-3.459,-0.546,0.084,0.8,63,0,3.547200675782,41.016,0,198822173.773333,FALSE
"172",-0.065,19.41,3,1.14380952380952,17.3538529342087,5.32862346231174,-43.868,-1.02443289049386,-3.057,-2.508,2.924,-1.301,-0.071,0.056,1.7,69,0,3.56192637684954,42.75,0,559618589.444444,FALSE
"173",28.01,-0.34,3,-0.328333333333333,17.9682500561078,4.93197440904372,-8.089,-2.74887219562247,21.877,22.466,27.072,-1.934,-0.014,0.23,3.54,59.46,0,0.576613364303994,7.849,0,122498437.23545,FALSE
"174",35.805,-1.4,3,-0.476150793650794,17.9696223561897,4.94333384848457,2.27,-2.74887219562247,4.13,-2.8,9.314,2.089,-0.181,0.161,3.06,50.9,-0.471,0.614644952404988,7.002,0,79832055.0275132,FALSE
"175",37.329,0.91,0,-1.11896,17.8235907368548,4.94905771836344,-15.587,-2.74887219562247,0.303,-0.455,35.322,-2.391,-0.467,0,0,0,-0.016,0.608133806232989,4.978,0,53898538.4991667,FALSE
"176",37.911,0.51,0,-2.3575,16.3516081159462,4.95196043691945,4.727,-4.3428059215206,0,-0.058,113.606,-49.847,-3.753,0,0,0,0.99,-2.30258509299405,-0.78,0,20093100.5333333,FALSE
"177",1.034,0.81,2,-0.718015873015873,15.9536168189124,5.32734690253931,2.254,-2.47693848013882,0,-0.949,1.214,-1.628,0,0,0,0,0,-1.38629436111989,0.604,0,44756707.6982143,FALSE
"178",1.061,-1.37,2,-0.285396825396825,16.0313015663763,5.33327902278093,-3.55,-2.46510402249182,0,0,0.812,0.546,0,0,0,0,0,-1.28735441326499,0.846,0,49671208.6706349,FALSE
"179",0.859,1.9799,2,-0.39888,16.003005286806,5.33672043783098,1.799,-2.44184716032755,0,0,1.05,-0.025,0,0,0,0,0,-1.31676829847128,0.933,0,39011496.4382,FALSE
"180",0.36,1.63,2,0.298293650793651,16.0336295169364,5.34078760197265,-1.686,-2.43041846450393,0,-7.542,1.456,0.593,2.75,0,0,0,-2.381,-1.43969513784701,0.755,0,68756724.4907407,FALSE
"181",-0.979,-0.01,2,-0.182063492063492,17.7101350676642,3.85371569656687,-0.061,-2.79688141480883,0.04,-0.282,-0.848,1.018,1.72,0.05,0,0,-0.037,-2.30258509299405,0,0,4508374.72718254,FALSE
"182",21.77,2.89,3,0.106984126984127,18.0788894975572,6.4644247389121,-39.392,-0.100925918589961,-3.283,-85.988,17.494,-93.846,-1.091,0,0,0,0,-2.30258509299405,13.803,0,523221470.05291,FALSE
"183",8.923,1.685,3,0.630833333333333,18.0359057660186,6.48697295904465,-0.816,-0.0888312137066157,-1.634,162.051,24.686,-176.807,-2.148,0,0,0,-3.038,-2.30258509299405,15.855,0,672252194.415509,FALSE
"184",-9.217,13.05,3,0.373055555555556,17.4976872414739,4.63103284551382,-86.628,-2.50103603171788,0,20.228,2.595,-7.699,0.315,1.231,3.3,44,0,2.75079035477837,21.857,0,862333892.619048,FALSE
"185",-17.353,4.45,3,1.5934126984127,17.5420147102133,4.91021072473602,4.9,-2.47693848013882,0,9.794,10.406,-5.743,0,1.769,2.9,43,0,2.77377551771935,22.799,0,1342575518.45238,FALSE
"186",-29.515,-4.75989999999999,3,1.67768,17.5696772528553,5.10744737578412,7.057,-2.45340798272863,0,-45.151,10.661,1.872,0,0.053,2,44,-1.625,2.75664987093827,22.016,0,1590452935.44853,FALSE
"187",-29.833,-1.48,3,1.35873015873016,17.8444878959809,5.35394127029603,-4.516,-1.74869997976761,0,-12.458,5.481,0.666,-3.75,1.74,2,42,0.403,2.51826082946073,19.918,0,2325931069.90079,FALSE
"188",-0.487,0.0199000000000003,2,-0.17547619047619,16.5840636181013,4.40419166537486,0.327,-1.82635091399767,0,-0.357,2.427,0.042,0,0.233,1.7,73.82,0,2.858938422036,20.212,0,30105990.2376984,FALSE
"189",-1.428,-1.5099,2,-0.145436507936508,16.610763365566,4.42373223869625,-1.349,-1.79576749062559,0,-0.246,4.087,-0.079,0,0.279,1.36,70.26,0,2.77844653172394,18.502,0,34234773.3457341,FALSE
"190",-2.325,-0.76,2,-0.27016,16.6414397901152,4.43721296634855,-1.733,-1.76609172247948,0,0.504,1.248,-0.238,0,1.577,0.58,71.46,0,-2.30258509299405,0,0,20480059.647,FALSE
"191",-0.421,1.12,2,-1.12369047619048,16.9992222939337,4.64094265307622,2.783,-1.17765549600856,0,-0.848,8.368,-0.756,0,1.989,1.78,76.87,0,-1.8578992717326,-1.41,0,36093838.9059524,FALSE
